,,,,
Navn,Interval,tid,IF,Intervalbeskrivelse
Max: 1x2m,1x2m,2.00,4,"max: 1x2m, køres som 1 interval af 2 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 2x2m,2x2m,4.00,8,"max: 2x2m, køres som 2 intervaller af 2 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 3x2m,3x2m,6.00,12,"max: 3x2m, køres som 3 intervaller af 2 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 4x2m,4x2m,8.00,16,"max: 4x2m, køres som 4 intervaller af 2 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 5x2m,5x2m,10.00,20,"max: 5x2m, køres som 5 intervaller af 2 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 6x2m,6x2m,12.00,24,"max: 6x2m, køres som 6 intervaller af 2 min. kadence 90-100. Køres med samme belastning i hele intervallet"
,,,,
Max: 1x3m,1x3m,3.00,6,"max: 1x3m, køres som 1 interval af 3 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 2x3m,2x3m,6.00,12,"max: 2x3m, køres som 2 intervaller af 3 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 3x3m,3x3m,9.00,18,"max: 3x3m, køres som 3 intervaller af 3 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 4x3m,4x3m,12.00,24,"max: 4x3m, køres som 4 intervaller af 3 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 5x3m,5x3m,15.00,30,"max: 5x3m, køres som 5 intervaller af 3 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 6x3m,6x3m,18.00,36,"max: 5x3m, køres som 6 intervaller af 3 min. kadence 90-100. Køres med samme belastning i hele intervallet"
,,,,
Max: 1x4m,1x4m,4.00,8,"max: 1x4m, køres som 1 interval af 4 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 2x4m,2x4m,8.00,16,"max: 2x4m, køres som 2 intervaller af 4 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 3x4m,3x4m,12.00,24,"max: 3x4m, køres som 3 intervaller af 4 min. kadence 90-100. Køres med samme belastning i hele intervallet"
Max: 4x4m,4x4m,16.00,32,"max: 4x4m, køres som 4 intervaller af 4 min. kadence 90-100. Køres med samme belastning i hele intervallet"
,,,,
,,,,
,,,,
Max: 2x15(30+10)s,2x15(30+10)s,15.00,30,"max: 2x15(30+10)s køres som 2 intervalserier med 15 gentagelser af 30 sekunders arbejde og 10 sekunders pause. Fra kadence ca. 50, med tung belastning, trædes med fuld kraft i 30 sek. Intervallet køres siddende"
Max: 2x30(10+10)s,2x30(10+10)s,10.00,20,"max: 2x30(10+10)s køres som 2 intervalserier af 30 gentagelser af 10 sekunder og 10 sek. pause. Fra kadence ca. 50, med tung belastning, trædes med fuld kraft i 10 sek. Intervallet køres siddende"
Max: 2x20(15+15)s,2x20(15+15)s,10.00,20,"max: 2x20(15+15)s køres som 2 intervalserier af 20 gentagelser af 15 sekunder og 15 sek. pause. Fra kadence ca. 50, med tung belastning, trædes med fuld kraft i 15 sek. Intervallet køres siddende"
Max: 2x20(30+15)s,2x20(30+15)s,20.00,40,"max: 2x20(30+15)s køres som 2 intervalserier af 20 gentagelser af 30 sekunder og 15 sek. pause. Fra kadence ca. 50, med tung belastning, trædes med fuld kraft i 30 sek. Intervallet køres siddende"
Max: 3x30(15+5)s,3x30(15+5)s,22.50,45,"max: 3x30(15+5)s køres som 3 intervalserier af 30 gentagelser af 15 sekunder og 5 sek. pause. Fra kadence ca. 50, med tung belastning, trædes med fuld kraft i 15 sek. Intervallet køres siddende"
Max: 8x(30+30)s,8x(30+30)s,4.00,8,"max: 8x(30+30)s køres som 8 gentagelser af 30 sekunder og 30 sek. pause. Fra kadence ca. 50, med tung belastning, trædes med fuld kraft i 30 sek. Intervallet køres siddende"
Max: 10x(30+30)s,10x(30+30)s,5.00,10,"max: 10x(30+30)s køres som 10 gentagelser af 30 sekunder og 30 sek. pause. Fra kadence ca. 50, med tung belastning, trædes med fuld kraft i 30 sek. Intervallet køres siddende"
Max: 2x30(20+10)s,2x30(20+10)s,19.80,39.6,"max: 2x30(20+10)s køres som 2 intervalserier af 30 gentagelser af 20 sekunder og 10 sek. pause. Fra kadence ca. 50, med tung belastning, trædes med fuld kraft i 20 sek. Intervallet køres siddende"
Max: 2x5(90+90)s,2x5(90+90)s,15.00,30,"max: 2x5(90+90)s, køres som 2 intervalserier med 5 gentagelser af 90 sekunders arbejde og 90 sekunders pause, i hver serie. kadence 60-70. Max mulig max i intervallet. Køres siddende"
Max: 3x10(30+15)s,3x10(30+15)s,15.00,30,"max: 3x10(30+15)s køres som 3 intervalserier af 10 gentagelser af 30 sekunder og 15 sek. pause. Fra kadence ca. 50, med tung belastning, trædes med fuld kraft i 30 sek. Intervallet køres siddende"
,,,,
,,,,
Max: 1x(2-3-10)m,1x(2-3-10)m,2_3_10,14.7,"max: 1x(2-3-10)m køres som 1 interval af ialt 15 min. (2 minutter køres med max effekt, 3 min køres med effekt i den høje ende af AT, 10 min køres med stabilisering af intensitet i sub-AT)"
Max: 1x(2-3-5)m,1x(2-3-5)m,2_3_5,10.8,"max: 1x(2-3-5)m køres som 1 interval af ialt 10 min. (2 minutter køres med max effekt, 3 min køres med effekt i den høje ende af AT, 5 min køres med stabilisering af intensitet i sub-AT)"
,,,,
,,,,
,BANE,,,
Max: 1x4(40+60)s,1x4(40+60)s,2.66,5.32,"max: 1x4(40+60)s, køres som 1 intervalserie med 4 gentagelser af 40 sekunders arbejde og 60 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 1x5(40+60)s,1x5(40+60)s,3.33,6.66,"max: 1x5(40+60)s, køres som 1 intervalserie med 5 gentagelser af 40 sekunders arbejde og 60 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 1x6(40+60)s,1x6(40+60)s,4.00,8,"max: 1x6(40+60)s, køres som 1 intervalserie med 6 gentagelser af 40 sekunders arbejde og 60 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 1x7(40+60)s,1x7(40+60)s,4.66,9.32,"max: 1x7(40+60)s, køres som 1 intervalserie med 7 gentagelser af 40 sekunders arbejde og 60 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 1x8(40+60)s,1x8(40+60)s,5.33,10.66,"max: 1x8(40+60)s, køres som 1 intervalserie med 8 gentagelser af 40 sekunders arbejde og 60 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
,,,,
,,,,
Max: 1x4(30+30)s ,1x4(30+30)s ,2.00,4,"max:1x4(30+30)s, løbes som 1 intervalserie med 4 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
Max: 1x5(30+30)s ,1x5(30+30)s ,2.50,5,"max: 1x5(30+30)s, løbes som 1 intervalserie med 5 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
Max: 1x6(30+30)s ,1x6(30+30)s ,3.00,6,"max: 1x6(30+30)s, løbes som 1 intervalserie med 6 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
Max: 1x7(30+30)s ,1x7(30+30)s ,3.50,7,"max: 1x7(30+30)s, løbes som 1 intervalserie med 7 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
Max: 1x8(30+30)s ,1x8(30+30)s ,4.00,8,"max: 1x8(30+30)s, løbes som 1 intervalserie med 8 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
Max: 1x9(30+30)s ,1x9(30+30)s ,4.50,9,"max: 1x9(30+30)s, løbes som 1 intervalserie med 9 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
Max: 1x10(30+30)s ,1x10(30+30)s ,5.00,10,"max: 1x10(30+30)s, løbes som 1 intervalserie med 10 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
,,,,
Max: 2x4(30+30)s ,2x4(30+30)s ,4.00,8,"max: 2x4(30+30)s, løbes som 2 intervalserier med 4 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
Max: 2x5(30+30)s ,2x5(30+30)s ,5.00,10,"max: 2x5(30+30)s, løbes som 2 intervalserier med 5 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
Max: 2x6(30+30)s ,2x6(30+30)s ,6.00,12,"max: 2x6(30+30)s, løbes som 2 intervalserier med 6 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
Max: 2x7(30+30)s ,2x7(30+30)s ,7.00,14,"max: 2x7(30+30)s, løbes som 2 intervalserier med 7 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
Max: 2x8(30+30)s ,2x8(30+30)s ,8.00,16,"max: 2x8(30+30)s, løbes som 2 intervalserier med 8 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
Max: 2x9(30+30)s ,2x9(30+30)s ,9.00,18,"max: 2x9(30+30)s, løbes som 2 intervalserier med 9 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
Max: 2x10(30+30)s ,2x10(30+30)s ,10.00,20,"max: 2x10(30+30)s, løbes som 2 intervalserier med 10 gentagelser, af 30 sekunders arbejde og 30 sekunders pause, i hver serie. Pulsen kommer ikke nødvendigvis op i max-zonen"
,,,,
,,,,
Max: 1x4(40+20)s ,1x4(40+20)s ,2.66,5.32,"max: 1x4(40+20)s, løbes som 1 intervalserie med 4 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 1x5(40+20)s ,1x5(40+20)s ,3.33,6.66,"max: 1x5(40+20)s, løbes som 1 intervalserie med 5 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 1x6(40+20)s ,1x6(40+20)s ,4.00,8,"max: 1x6(40+20)s, løbes som 1 intervalserie med 6 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 1x7(40+20)s ,1x7(40+20)s ,4.66,9.32,"max: 1x7(40+20)s, løbes som 1 intervalserie med 7 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 1x8(40+20)s ,1x8(40+20)s ,8.33,16.66,"max: 1x8(40+20)s, løbes som 1 intervalserie med 8 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 1x9(40+20)s ,1x9(40+20)s ,6.00,12,"max: 1x9(40+20)s, løbes som 1 intervalserie med 9 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 1x10(40+20)s ,1x10(40+20)s ,6.66,13.32,"max: 1x10(40+20)s, løbes som 1 intervalserie med 10 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
,,,,
Max: 2x4(40+20)s ,2x4(40+20)s ,5.30,10.6,"max: 2x4(40+20)s, løbes som 2 intervalserier med 4 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 2x5(40+20)s ,2x5(40+20)s ,6.66,13.32,"max: 2x5(40+20)s, løbes som 2 intervalserier med 5 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 2x6(40+20)s ,2x6(40+20)s ,8.00,16,"max: 2x6(40+20)s, løbes som 2 intervalserier med 6 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 2x7(40+20)s ,2x7(40+20)s ,9.33,18.66,"max: 2x7(40+20)s, løbes som 2 intervalserier med 7 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 2x8(40+20)s ,2x8(40+20)s ,10.66,21.32,"max: 2x8(40+20)s, løbes som 2 intervalserier med 8 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 2x9(40+20)s ,2x9(40+20)s ,12.00,24,"max: 2x9(40+20)s, løbes som 2 intervalserier med 9 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 2x10(40+20)s ,2x10(40+20)s ,13.33,26.66,"max: 2x10(40+20)s, løbes som 2 intervalserier med 10 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
,,,,
Max: 3x4(40+20)s ,3x4(40+20)s ,8.00,16,"max: 3x4(40+20)s, løbes som 3 intervalserier med 4 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 3x5(40+20)s ,3x5(40+20)s ,10.00,20,"max: 3x5(40+20)s, løbes som 3 intervalserier med 5 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 3x6(40+20)s ,3x6(40+20)s ,12.00,24,"max: 3x6(40+20)s, løbes som 3 intervalserier med 6 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 3x7(40+20)s ,3x7(40+20)s ,14.00,28,"max: 3x7(40+20)s, løbes som 3 intervalserier med 7 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
Max: 3x8(40+20)s ,3x8(40+20)s ,16,32,"max: 3x8(40+20)s, løbes som 3 intervalserier med 8 gentagelser, af 40 sekunders arbejde og 20 sekunders pause, i hver serie. Pulsen skal i løbet af de første 3-4 intervaller komme op i max-zonen"
,,,,
,,,,
Max: 1x3(60+60)s,1x3(60+60)s,6,12,"max: 1x3(60+60)s, løbes som 1 intervalserie med 3 gentagelser af 60 sekunders arbejde og 60 sekunders pause. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
Max: 1x4(60+60)s,1x4(60+60)s,8,16,"max: 1x4(60+60)s, løbes som 1 intervalserie med 4 gentagelser af 60 sekunders arbejde og 60 sekunders pause. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
Max: 1x5(60+60)s,1x5(60+60)s,10,20,"max: 1x5(60+60)s, løbes som 1 intervalserie med 5 gentagelser af 60 sekunders arbejde og 60 sekunders pause. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
Max: 1x6(60+60)s,1x6(60+60)s,12,24,"max: 1x6(60+60)s, løbes som 1 intervalserie med 6 gentagelser af 60 sekunders arbejde og 60 sekunders pause. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
,,,,
,,,,
Max: 2x3(60+60)s,2x3(60+60)s,6,12,"max: 2x3(60+60)s, løbes som 2 intervalserier med 3 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver  serie. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
Max: 2x4(60+60)s,2x4(60+60)s,8,16,"max: 2x4(60+60)s, løbes som 2 intervalserier med 4 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver  serie. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
Max: 2x5(60+60)s,2x5(60+60)s,10,20,"max: 2x5(60+60)s, løbes som 2 intervalserier med 5 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver  serie. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
Max: 2x6(60+60)s,2x6(60+60)s,12,24,"max: 2x6(60+60)s, løbes som 2 intervalserier med 6 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver  serie. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
,,,,
,,,,
Max: 3x3(60+60)s,3x3(60+60)s,9,18,"max: 3x3(60+60)s, løbes som 3 intervalserier med 3 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver  serie. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
Max: 3x4(60+60)s,3x4(60+60)s,12,24,"max: 3x4(60+60)s, løbes som 3 intervalserier med 4 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver  serie. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
Max: 3x5(60+60)s,3x5(60+60)s,15,30,"max: 3x5(60+60)s, løbes som 3 intervalserier med 5 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver  serie. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
Max: 3x6(60+60)s,3x6(60+60)s,18,36,"max: 3x6(60+60)s, løbes som 3 intervalserier med 6 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver  serie. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
,,,,
,,,,
Max: 4x3(60+60)s,4x3(60+60)s,12,24,"max: 4x3(60+60)s, løbes som 4 intervalserier med 3 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver  serie. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
Max: 4x4(60+60)s,4x4(60+60)s,16,32,"max: 4x4(60+60)s, løbes som 4 intervalserier med 4 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver  serie. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
Max: 4x5(60+60)s,4x5(60+60)s,20,40,"max: 4x5(60+60)s, løbes som 4 intervalserier med 5 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver  serie. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
Max: 4x6(60+60)s,4x6(60+60)s,24,48,"max: 4x6(60+60)s, løbes som 4 intervalserier med 6 gentagelser af 60 sekunders arbejde og 60 sekunders pause, i hver  serie. Pulsen skal i løbet af de første 2-3 intervaller komme op i max-zonen"
,,,,
,,,,
Max: 1x1m ,1x1m ,1.00,2,"max: 1x1m, løbes som 1 interval af 1 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
Max: 2x1m ,2x1m ,2.00,4,"max: 2x1m, løbes som 2 intervaller af 1 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
Max: 3x1m ,3x1m ,3.00,6,"max: 3x1m, løbes som 3 intervaller af 1 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
Max: 4x1m ,4x1m ,4.00,8,"max: 4x1m, løbes som 4 intervaller af 1 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
Max: 5x1m ,5x1m ,5.00,10,"max: 5x1m, løbes som 5 intervaller af 1 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
Max: 6x1m ,6x1m ,6.00,12,"max: 6x1m, løbes som 6 intervaller af 1 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
Max: 7x1m ,7x1m ,7.00,14,"max: 7x1m, løbes som 7 intervaller af 1 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
Max: 8x1m ,8x1m ,8.00,16,"max: 8x1m, løbes som 8 intervaller af 1 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
Max: 9x1m ,9x1m ,9.00,18,"max: 9x1m, løbes som 9 intervaller af 1 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
Max: 10x1m ,10x1m ,10.00,20,"max: 10x1m, løbes som 10 intervaller af 1 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
,,,0,
"Max: 1x1,5m ","1x1,5m ",1.50,3,"max: 1x1,5m, løbes som 1 interval af 1,5 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
"Max: 2x1,5m ","2x1,5m ",3.00,6,"max: 2x1,5m, løbes som 2 intervaller af 1,5 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
"Max: 3x1,5m ","3x1,5m ",4.50,9,"max: 3x1,5m, løbes som 3 intervaller af 1,5 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
"Max: 4x1,5m ","4x1,5m ",6.00,12,"max: 4x1,5m, løbes som 4 intervaller af 1,5 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
"Max: 5x1,5m ","5x1,5m ",7.50,15,"max: 5x1,5m, løbes som 5 intervaller af 1,5 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
"Max: 6x1,5m ","6x1,5m ",9.00,18,"max: 6x1,5m, løbes som 6 intervaller af 1,5 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
"Max: 7x1,5m ","7x1,5m ",10.50,21,"max: 7x1,5m, løbes som 7 intervaller af 1,5 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
"Max: 8x1,5m ","8x1,5m ",12.00,24,"max: 8x1,5m, løbes som 8 intervaller af 1,5 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
"Max: 9x1,5m ","9x1,5m ",13.50,27,"max: 9x1,5m, løbes som 9 intervaller af 1,5 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
"Max: 10x1,5m ","10x1,5m ",15.00,30,"max: 10x1,5m, løbes som 10 intervaller af 1,5 min. Pulsen skal i løbet af de første 1 minutter af første interval komme op i max-zonen"
,,,,
,,,,
Max: 1x2m ,1x2m ,2.00,4,"max: 1x2m, løbes som 1 interval af 2 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 2x2m ,2x2m ,4.00,8,"max: 2x2m, løbes som 2 intervaller af 2 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 3x2m ,3x2m ,6.00,12,"max: 3x2m, løbes som 3 intervaller af 2 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 4x2m ,4x2m ,8.00,16,"max: 4x2m, løbes som 4 intervaller af 2 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 5x2m ,5x2m ,10.00,20,"max: 5x2m, løbes som 5 intervaller af 2 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 6x2m ,6x2m ,12.00,24,"max: 6x2m, løbes som 6 intervaller af 2 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 7x2m ,7x2m ,14.00,28,"max: 7x2m, løbes som 7 intervaller af 2 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 8x2m ,8x2m ,16.00,32,"max: 8x2m, løbes som 8 intervaller af 2 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 9x2m ,9x2m ,18.00,36,"max: 9x2m, løbes som 9 intervaller af 2 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 10x2m ,10x2m ,20.00,40,"max: 10x2m, løbes som 10 intervaller af 2 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
,,,,
,,,,
Max: 1x3m ,1x3m ,3.00,6,"max: 1x3m, løbes som 1 interval af 3 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 2x3m ,2x3m ,6.00,12,"max: 2x3m, løbes som 2 intervaller af 3 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 3x3m ,3x3m ,9.00,18,"max: 3x3m, løbes som 3 intervaller af 3 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 4x3m ,4x3m ,12.00,24,"max: 4x3m, løbes som 4 intervaller af 3 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 5x3m ,5x3m ,15.00,30,"max: 5x3m, løbes som 5 intervaller af 3 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 6x3m ,6x3m ,18.00,36,"max:68x3m, løbes som 6 intervaller af 3 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
,,,0,
Max: 1x4m ,1x4m ,4.00,8,"max: 1x4m, løbes som 1 interval af 4 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 2x4m ,2x4m ,8.00,16,"max: 2x4m, løbes som 2 intervaller af 4 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 3x4m ,3x4m ,12.00,24,"max: 3x4m, løbes som 3 intervaller af 4 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 4x4m ,4x4m ,16.00,32,"max: 4x4m, løbes som 4 intervaller af 4 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
Max: 5x4m ,5x4m ,20.00,40,"max: 5x4m, løbes som 5 intervaller af 4 min. Pulsen skal i løbet af de første 2 minutter af første interval komme op i max-zonen"
,,,,
,Indset ny linje foer denne linje hvis du tilfoejer nye intervaller,,,
,,,,
,Funktionel styrke,,,
,,,0.77,
FS: 1x5m,1x5m,5,3.85,"Funktionel styrke: 1x5 min køres som 1 interval af 5 minutter. kadence 60, og puls 10-20 slag under AT"
FS: 1x8m,1x8m,8,6.16,"Funktionel styrke: 1x8 min køres som 1 interval af 8 minutter. kadence 60, og puls 10-20 slag under AT"
FS: 1x10m,1x10m,10,7.7,"Funktionel styrke: 1x10 min køres som 1 interval af 10 minutter. kadence 60, og puls 10-20 slag under AT"
FS: 1x12m,1x12m,12,9.24,"Funktionel styrke: 1x12 min køres som 1 interval af 12 minutter. kadence 60, og puls 10-20 slag under AT"
FS: 1x15m,1x15m,15,11.55,"Funktionel styrke: 1x15 min køres som 1 interval af 15 minutter. kadence 60, og puls 10-20 slag under AT"
FS: 1x20m,1x20m,20,15.4,"Funktionel styrke: 1x20 min køres som 1 interval af 20 minutter. kadence 60, og puls 10-20 slag under AT"
FS: 1x25m,1x25m,25,19.25,"Funktionel styrke: 1x25 min køres som 1 interval af 25 minutter. kadence 60, og puls 10-20 slag under AT"
FS: 1x30m,1x30m,30,23.1,"Funktionel styrke: 1x30 min køres som 1 interval af 30 minutter. kadence 60, og puls 10-20 slag under AT"
,,,,
,,,,
FS: 2x5m,2x5m,10,7.7,"Funktionel styrke: 2x5 min køres som 2 intervaller af 5 minutter. kadence 60, og puls 10-20 slag under AT"
